Getting runtime scan results...
Found 1000 runtime scan results

Created At   Result ID           AWS Account          Resource Type Resource Name                  Crit High Medium Low 
----------------------------------------------------------------------------------------------------------------------------------
             186940fb09a0e870... dev-ir               ECS          dev-ir-backend-cluster/datadog-agent 0    32   91     18  
             186944689c31a04d... prd-platform         ECS          prd-platform/datadog-agent     0    32   91     18  
             186939acd3ff995b... sales-platform       ECS          sales-platform/datadog-agent   0    32   91     18  
             18693ac5a3229bf1... prd-platform         ECS          prd-platform/datadog-agent     0    32   91     18  
             1869438dde36967e... sales-platform       ECS          sales-platform/datadog-agent   0    32   91     18  
             18693204458cbaab... dev-platform         ECS          dev-platform/datadog-agent     0    32   91     18  
             18693203ec9a9caa... prd-ir               ECS          prd-ir-backend-cluster/datadog-agent 0    32   91     18  
             1869316fd14cc3aa... prd-ir               ECS          prd-ir-backend-cluster/datadog-agent 0    32   91     18  
             186913303469b71e...                      Host         ip-10-1-2-37.ap-northeast-1.compute.internal 0    25   1      0   
             186945e507b83d18...                      Host         ip-10-1-2-37.loglass.internal  0    25   1      0   
             1869489bdc03ce9c... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             186949fca3a2b571... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             1869490b64a98bef... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             186935918902d239... prd-loglass          Lambda       prd-DatasetOrchestrator        0    21   38     2   
             18694b08674b517c... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             18694b178e0d46d4... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             186948c1d5ae96e5... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             1869488768a468c0... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             18694917847b5f18... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             186948c0d915dc35... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             18694879acb8f555... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             186948313c85a0e8... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             186934b6dc63b99b... dem-loglass          Lambda       dem-DatasetOrchestrator        0    21   38     2   
             1869475ac9f99840... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             186947e4668c04f4... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             186947e622c9a4d9... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             18694876ee97afd5... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             186934aa735b7bbb... dem-loglass          Lambda       dem-DatasetOrchestrator        0    21   38     2   
             18694ad778f9f757... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             186947e84d9b03d0... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             1869488afd2c7144... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             186947e2c5a19ac7... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             18694b0ff86bf98b... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             18694967308a4c0a... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             1869487cd01d9bc1... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             186949f0dc159019... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             186947f19011f022... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             186947ec72219205... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             1869492264f96ef3... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             1869358eee4b3332... prd-loglass          Lambda       prd-DatasetOrchestrator        0    21   38     2   
             1869470a34c46b9a... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             18694b1181efa4cf... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             186949ae5f57be6e... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             186949174480c928... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             1869496732d15678... stg-loglass          Lambda       stg-DatasetOrchestrator        0    21   38     2   
             18693592254dec67... prd-loglass          Lambda       prd-DatasetOrchestrator        0    21   38     2   
